epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78407,2.85761,4.19529,2.67491,0,0,0,0,3.97586,4.63573,3.75102,2e-05,2e-05,2e-05
2,5.24662,2.73655,4.13616,2.68881,0.0025,0.75,0.00737,0.00074,3.65492,4.86073,3.3875,5.9406e-05,5.9406e-05,5.9406e-05
3,7.61118,2.28812,3.66117,2.20559,0.0025,0.75,0.00549,0.00096,3.16116,4.41299,3.0252,9.802e-05,9.802e-05,9.802e-05
4,10.0645,2.50789,3.73181,2.36996,0.0025,0.75,0.02347,0.00408,2.38529,4.7217,2.6304,0.000135842,0.000135842,0.000135842
5,12.3347,2.21296,3.78921,2.08643,0.0025,0.75,0.023,0.00417,2.22138,4.89224,2.58385,0.000172872,0.000172872,0.000172872
6,14.5954,2.38812,3.47973,2.06237,0.0025,0.75,0.05704,0.02316,2.33419,4.52825,2.45389,0.00020911,0.00020911,0.00020911
7,16.8514,1.93022,3.33382,1.88476,0.0025,0.75,0.17732,0.05897,2.4269,4.50225,2.26584,0.000244556,0.000244556,0.000244556
8,19.1537,2.39595,3.39995,2.08394,0.0025,0.75,0.20186,0.07822,2.32061,3.97157,1.87834,0.00027921,0.00027921,0.00027921
9,21.4164,1.61244,3.02046,1.55898,0.0025,0.75,0.447,0.1885,2.02814,3.82734,1.77317,0.000313072,0.000313072,0.000313072
10,23.7461,2.20801,3.24839,1.94543,0.0025,0.75,0.3725,0.16864,2.1329,3.62493,1.87262,0.000346142,0.000346142,0.000346142
11,25.98,1.67698,2.81353,1.56099,0.0025,0.75,0.62,0.22416,2.50927,3.80551,2.00385,0.00037842,0.00037842,0.00037842
12,28.2126,1.98906,3.0117,1.7732,0.0025,0.75,0.62,0.22416,2.50927,3.80551,2.00385,0.000409906,0.000409906,0.000409906
13,30.447,1.7443,2.56921,1.53949,0.0025,0.75,0.52385,0.18675,2.45821,3.87576,1.84873,0.0004406,0.0004406,0.0004406
14,32.6978,1.86956,2.90906,1.73756,0.0025,0.75,0.56167,0.30469,2.17242,3.64953,1.5897,0.000470502,0.000470502,0.000470502
15,35.0264,1.78451,2.64629,1.57788,0.0025,0.75,0.56167,0.30469,2.17242,3.64953,1.5897,0.000499612,0.000499612,0.000499612
16,37.2978,1.70309,2.82109,1.51326,0.0025,0.75,0.62,0.14487,2.42665,3.58914,1.62168,0.00052793,0.00052793,0.00052793
17,39.5538,1.84566,2.90385,1.55963,0.0025,0.75,0.62,0.20708,2.00443,3.53004,1.44319,0.000555456,0.000555456,0.000555456
18,41.8424,1.89547,2.74612,1.61747,0.0025,0.75,0.62,0.20708,2.00443,3.53004,1.44319,0.00058219,0.00058219,0.00058219
19,44.1872,1.88397,2.85571,1.61606,0.0025,0.75,0.27938,0.13544,1.83014,3.34071,1.45241,0.000608132,0.000608132,0.000608132
20,46.4758,1.72327,2.73877,1.49554,0.0025,0.75,0.27938,0.13544,1.83014,3.34071,1.45241,0.000633282,0.000633282,0.000633282
21,48.7723,1.68962,2.78634,1.51324,0.0025,0.75,0.34125,0.1538,2.1759,3.40028,1.82583,0.00065764,0.00065764,0.00065764
22,51.0741,1.65016,2.39911,1.45879,0.0025,0.75,0.34125,0.1538,2.1759,3.40028,1.82583,0.000681206,0.000681206,0.000681206
23,53.6009,1.86566,2.75262,1.48735,0.26015,0.75,0.495,0.21063,2.36026,3.55014,1.50135,0.00070398,0.00070398,0.00070398
24,55.9159,1.7668,2.97794,1.59668,0.26015,0.75,0.495,0.21063,2.36026,3.55014,1.50135,0.000725962,0.000725962,0.000725962
25,58.2663,1.85486,2.37317,1.4895,0.09839,0.75,0.18625,0.09503,2.67534,3.84132,1.74454,0.000747152,0.000747152,0.000747152
26,60.6074,1.49084,2.39906,1.41006,0.09839,0.75,0.18625,0.09503,2.67534,3.84132,1.74454,0.00076755,0.00076755,0.00076755
27,62.9392,1.72746,2.76744,1.45907,0.09839,0.75,0.18625,0.09503,2.67534,3.84132,1.74454,0.000787156,0.000787156,0.000787156
28,65.2971,1.83789,2.48757,1.46788,0.02088,0.75,0.62,0.20739,2.33799,3.23692,1.66279,0.00080597,0.00080597,0.00080597
29,67.6892,1.83863,2.54102,1.47123,0.02088,0.75,0.62,0.20739,2.33799,3.23692,1.66279,0.000823992,0.000823992,0.000823992
30,69.9999,1.99655,2.58636,1.44902,0.00522,0.75,0.31929,0.14786,1.92309,3.09854,1.40526,0.000841222,0.000841222,0.000841222
31,72.3476,1.46253,2.31853,1.36283,0.00522,0.75,0.31929,0.14786,1.92309,3.09854,1.40526,0.00085766,0.00085766,0.00085766
32,74.7094,1.57202,2.58483,1.44221,0.00522,0.75,0.31929,0.14786,1.92309,3.09854,1.40526,0.000873306,0.000873306,0.000873306
33,77.1047,1.53059,2.42617,1.28922,0.03596,0.75,0.27938,0.13282,2.21841,3.35171,1.56251,0.00088816,0.00088816,0.00088816
34,79.4643,1.72326,2.28912,1.45551,0.03596,0.75,0.27938,0.13282,2.21841,3.35171,1.56251,0.000902222,0.000902222,0.000902222
35,81.7465,1.73045,2.3135,1.34929,0.03596,0.75,0.27938,0.13282,2.21841,3.35171,1.56251,0.000915492,0.000915492,0.000915492
36,84.1337,1.63125,2.4389,1.38383,0.31765,0.75,0.31929,0.11625,2.23841,3.18802,1.73281,0.00092797,0.00092797,0.00092797
37,86.5085,1.56832,2.30585,1.31901,0.31765,0.75,0.31929,0.11625,2.23841,3.18802,1.73281,0.000939656,0.000939656,0.000939656
38,88.8394,1.77784,2.57727,1.43605,0.31765,0.75,0.31929,0.11625,2.23841,3.18802,1.73281,0.00095055,0.00095055,0.00095055
39,91.1596,1.70398,2.53728,1.41119,0.26733,0.75,0.24833,0.14967,2.12395,3.06659,1.61087,0.000960652,0.000960652,0.000960652
40,93.5088,1.66872,2.46324,1.50902,0.26733,0.75,0.24833,0.14967,2.12395,3.06659,1.61087,0.000969962,0.000969962,0.000969962
41,95.8469,1.75063,2.58081,1.39715,0.26733,0.75,0.24833,0.14967,2.12395,3.06659,1.61087,0.00097848,0.00097848,0.00097848
42,98.1845,1.79825,2.50288,1.44716,0.33739,0.75,0.29175,0.16267,2.1507,3.0956,1.60904,0.000986206,0.000986206,0.000986206
43,100.615,1.82172,2.25309,1.37143,0.33739,0.75,0.29175,0.16267,2.1507,3.0956,1.60904,0.00099314,0.00099314,0.00099314
44,102.893,1.69148,2.27305,1.43325,0.33739,0.75,0.29175,0.16267,2.1507,3.0956,1.60904,0.000999282,0.000999282,0.000999282
45,105.164,1.75778,2.3029,1.40335,0.33739,0.75,0.29175,0.16267,2.1507,3.0956,1.60904,0.00100463,0.00100463,0.00100463
46,107.468,1.64543,2.21811,1.39017,0.38837,0.75,0.3725,0.13642,2.90815,3.1413,2.02774,0.00100919,0.00100919,0.00100919
47,109.772,1.68779,2.29932,1.43022,0.38837,0.75,0.3725,0.13642,2.90815,3.1413,2.02774,0.00101296,0.00101296,0.00101296
48,112.016,1.69717,2.28134,1.41469,0.38837,0.75,0.3725,0.13642,2.90815,3.1413,2.02774,0.00101593,0.00101593,0.00101593
49,114.328,1.88125,2.4245,1.47307,0.38837,0.75,0.3725,0.13642,2.90815,3.1413,2.02774,0.00101811,0.00101811,0.00101811
50,116.708,1.85684,2.21095,1.43052,0.77821,0.5,0.62,0.24405,2.36341,2.54152,1.55211,0.0010195,0.0010195,0.0010195
51,118.997,1.57539,2.21442,1.30434,0.77821,0.5,0.62,0.24405,2.36341,2.54152,1.55211,0.00101,0.00101,0.00101
52,121.264,1.68895,2.3533,1.5452,0.77821,0.5,0.62,0.24405,2.36341,2.54152,1.55211,0.0009902,0.0009902,0.0009902
53,123.619,2.00438,2.53492,1.53673,0.77821,0.5,0.62,0.24405,2.36341,2.54152,1.55211,0.0009704,0.0009704,0.0009704
54,126.049,1.63821,2.45072,1.35523,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.0009506,0.0009506,0.0009506
55,128.394,1.54213,2.08701,1.26228,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.0009308,0.0009308,0.0009308
56,130.631,1.57764,2.27651,1.3989,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.000911,0.000911,0.000911
57,132.94,1.94898,2.38172,1.47029,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.0008912,0.0008912,0.0008912
58,135.316,1.7491,2.43757,1.32154,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.0008714,0.0008714,0.0008714
59,137.601,1.67838,2.44418,1.42624,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.0008516,0.0008516,0.0008516
60,139.963,1.52928,2.20684,1.40972,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.0008318,0.0008318,0.0008318
61,142.36,1.46817,2.44526,1.21843,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.000812,0.000812,0.000812
62,144.732,1.52594,2.20704,1.41368,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007922,0.0007922,0.0007922
63,147.158,1.54002,2.12831,1.37558,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007724,0.0007724,0.0007724
64,149.56,1.44395,1.94946,1.28784,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007526,0.0007526,0.0007526
65,151.869,1.78202,2.25232,1.36257,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007328,0.0007328,0.0007328
66,154.178,1.36661,2.01786,1.24803,0.71368,0.75,0.6825,0.33507,1.82984,2.50497,1.58632,0.000713,0.000713,0.000713
