epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63267,1.14566,5.82686,0.02633,0.00333,1,0.45055,0.21739,0.92512,12.1835,0.02223,4e-05,4e-05,4e-05
2,6.96442,1.21303,5.66742,0.02646,0.00333,1,0.30966,0.14927,0.96902,12.2806,0.02394,9.901e-05,9.901e-05,9.901e-05
3,10.2618,1.16306,5.80466,0.02919,0.00333,1,0.44694,0.2416,0.7925,11.9772,0.02018,0.000156832,0.000156832,0.000156832
4,13.4948,0.88092,5.2801,0.01694,0.00333,1,0.52234,0.28745,0.81108,11.9916,0.02225,0.000213466,0.000213466,0.000213466
5,16.7574,0.90826,5.38081,0.02095,0.00333,1,0.52345,0.24336,0.71565,11.8722,0.01944,0.000268912,0.000268912,0.000268912
6,19.9455,0.77368,5.13977,0.0169,0.00333,1,0.36942,0.25206,0.62329,11.5819,0.0174,0.00032317,0.00032317,0.00032317
7,23.0947,0.76009,5.27668,0.01571,0.00333,1,0.30699,0.21605,0.56664,11.3791,0.01331,0.00037624,0.00037624,0.00037624
8,26.1335,0.91379,5.54045,0.02195,0.00333,1,0.45468,0.34637,0.56871,11.4225,0.01494,0.000428122,0.000428122,0.000428122
9,29.3458,0.77372,5.41699,0.01894,0.00333,1,0.45936,0.3203,0.48075,11.2657,0.011,0.000478816,0.000478816,0.000478816
10,32.5165,0.92473,5.07618,0.01967,0.00333,1,0.41701,0.28792,0.50125,11.2507,0.01152,0.000528322,0.000528322,0.000528322
11,35.6015,0.84661,4.83839,0.02118,0.00333,1,0.43183,0.31205,0.68943,11.3054,0.01537,0.00057664,0.00057664,0.00057664
12,38.6131,0.76326,4.44503,0.01593,0.00333,1,0.48717,0.35581,0.738,11.2266,0.01851,0.00062377,0.00062377,0.00062377
13,41.7722,0.77447,4.89546,0.01817,0.00333,1,0.47918,0.35257,0.82362,11.1767,0.02075,0.000669712,0.000669712,0.000669712
14,44.867,1.00443,5.12608,0.02252,0.00333,1,0.47059,0.33179,0.85633,11.07,0.02289,0.000714466,0.000714466,0.000714466
15,47.9955,0.89569,4.28793,0.0189,0.00333,1,0.47059,0.33179,0.85633,11.07,0.02289,0.000758032,0.000758032,0.000758032
16,51.1464,0.81963,4.185,0.01834,0.00333,1,0.58722,0.43325,0.83542,10.8682,0.02101,0.00080041,0.00080041,0.00080041
17,54.286,0.99282,4.54838,0.0219,0.00333,1,0.75077,0.47009,0.6899,10.7922,0.01862,0.0008416,0.0008416,0.0008416
18,57.4446,0.93594,4.75206,0.02426,0.00333,1,0.75077,0.47009,0.6899,10.7922,0.01862,0.000881602,0.000881602,0.000881602
19,60.6389,1.0199,4.58109,0.02756,0.00333,1,0.69247,0.4598,0.85538,10.8513,0.02334,0.000920416,0.000920416,0.000920416
20,63.9798,0.88356,4.01239,0.01984,0.00333,1,0.74492,0.49324,1.03604,10.7094,0.02354,0.000958042,0.000958042,0.000958042
21,67.2739,0.8537,4.25391,0.02173,0.00333,1,0.74492,0.49324,1.03604,10.7094,0.02354,0.00099448,0.00099448,0.00099448
22,70.4113,0.93858,3.65879,0.0196,0.24812,1,0.93875,0.60933,1.33876,10.7507,0.03313,0.00102973,0.00102973,0.00102973
23,73.5091,0.97643,3.65162,0.02045,0.24812,1,0.93875,0.60933,1.33876,10.7507,0.03313,0.00106379,0.00106379,0.00106379
24,76.8165,0.99699,3.89933,0.02073,1,0.60396,0.98167,0.71893,1.08582,10.1565,0.02747,0.00109667,0.00109667,0.00109667
25,79.9713,0.84111,3.75115,0.01932,1,0.60396,0.98167,0.71893,1.08582,10.1565,0.02747,0.00112835,0.00112835,0.00112835
26,83.3396,1.00392,3.56928,0.02353,0.8285,0.75,0.91011,0.71082,0.95727,9.85548,0.02624,0.00115885,0.00115885,0.00115885
27,86.8504,1.04069,3.64849,0.02254,0.8285,0.75,0.91011,0.71082,0.95727,9.85548,0.02624,0.00118816,0.00118816,0.00118816
28,90.2864,0.91228,3.4154,0.01992,0.82791,0.875,0.939,0.64675,1.11321,9.80192,0.02771,0.00121628,0.00121628,0.00121628
29,93.8149,1.17285,3.66732,0.02244,0.82791,0.875,0.939,0.64675,1.11321,9.80192,0.02771,0.00124322,0.00124322,0.00124322
30,97.355,1.09302,4.2706,0.03116,0.82791,0.875,0.939,0.64675,1.11321,9.80192,0.02771,0.00126896,0.00126896,0.00126896
31,100.6,0.91548,3.85242,0.02192,0.94292,0.75,0.92732,0.63002,1.10622,9.50961,0.02585,0.00129352,0.00129352,0.00129352
32,103.825,0.96216,3.06971,0.01897,0.94292,0.75,0.92732,0.63002,1.10622,9.50961,0.02585,0.00131689,0.00131689,0.00131689
33,107.28,0.99145,3.99889,0.02128,1,0.86384,0.98167,0.66345,1.22853,9.12698,0.03165,0.00133907,0.00133907,0.00133907
34,110.597,0.98518,3.35474,0.02304,1,0.86384,0.98167,0.66345,1.22853,9.12698,0.03165,0.0013466,0.0013466,0.0013466
35,113.883,1.1304,3.4438,0.0248,1,0.86384,0.98167,0.66345,1.22853,9.12698,0.03165,0.0013268,0.0013268,0.0013268
36,116.959,1.04836,3.16114,0.021,0.96002,1,0.995,0.63895,1.48566,8.81129,0.04192,0.001307,0.001307,0.001307
37,120.046,1.06601,3.95786,0.02506,0.96002,1,0.995,0.63895,1.48566,8.81129,0.04192,0.0012872,0.0012872,0.0012872
38,123.16,1.14926,3.69361,0.02702,0.96002,1,0.995,0.63895,1.48566,8.81129,0.04192,0.0012674,0.0012674,0.0012674
39,126.276,1.05802,3.40717,0.0214,1,0.96962,0.995,0.73075,1.07091,7.83453,0.02634,0.0012476,0.0012476,0.0012476
40,129.463,1.00542,3.10113,0.02075,1,0.96962,0.995,0.73075,1.07091,7.83453,0.02634,0.0012278,0.0012278,0.0012278
41,132.768,0.85803,3.32537,0.01917,1,0.9786,0.995,0.76054,1.07694,7.39035,0.02938,0.001208,0.001208,0.001208
42,136.164,1.02783,3.64825,0.0232,1,0.9786,0.995,0.76054,1.07694,7.39035,0.02938,0.0011882,0.0011882,0.0011882
43,139.275,1.0557,3.84194,0.02408,1,0.9786,0.995,0.76054,1.07694,7.39035,0.02938,0.0011684,0.0011684,0.0011684
44,142.413,1.01363,2.99404,0.02114,0.95775,0.875,0.971,0.74652,1.06669,7.11981,0.0278,0.0011486,0.0011486,0.0011486
45,145.472,0.9254,3.06747,0.02139,0.95775,0.875,0.971,0.74652,1.06669,7.11981,0.0278,0.0011288,0.0011288,0.0011288
46,148.693,0.85228,3.1094,0.01996,0.95775,0.875,0.971,0.74652,1.06669,7.11981,0.0278,0.001109,0.001109,0.001109
47,151.951,0.93072,3.42808,0.02469,0.96511,0.875,0.971,0.73483,1.12782,6.8105,0.02711,0.0010892,0.0010892,0.0010892
48,155.056,0.84496,2.89376,0.02001,0.96511,0.875,0.971,0.73483,1.12782,6.8105,0.02711,0.0010694,0.0010694,0.0010694
49,158.231,1.05224,2.82928,0.01953,0.96621,0.875,0.96227,0.61416,1.60799,7.07539,0.04288,0.0010496,0.0010496,0.0010496
50,161.478,1.04672,2.74275,0.02393,0.96621,0.875,0.96227,0.61416,1.60799,7.07539,0.04288,0.0010298,0.0010298,0.0010298
51,164.534,1.02228,3.05983,0.02394,0.96621,0.875,0.96227,0.61416,1.60799,7.07539,0.04288,0.00101,0.00101,0.00101
52,167.6,0.9499,2.85705,0.01999,0.83549,0.875,0.95475,0.61722,1.43263,6.71448,0.03752,0.0009902,0.0009902,0.0009902
53,170.828,1.0031,2.69718,0.02191,0.83549,0.875,0.95475,0.61722,1.43263,6.71448,0.03752,0.0009704,0.0009704,0.0009704
54,174.148,0.91627,2.68068,0.02065,0.83549,0.875,0.95475,0.61722,1.43263,6.71448,0.03752,0.0009506,0.0009506,0.0009506
55,177.501,1.02146,3.03661,0.02225,1,0.97946,0.995,0.71775,1.10884,5.97685,0.02642,0.0009308,0.0009308,0.0009308
56,180.872,0.85781,2.70049,0.02127,1,0.97946,0.995,0.71775,1.10884,5.97685,0.02642,0.000911,0.000911,0.000911
57,184.119,0.96452,2.78749,0.02163,0.99162,1,0.995,0.74775,1.07924,5.75729,0.0275,0.0008912,0.0008912,0.0008912
58,187.232,1.08064,3.20153,0.02493,0.99162,1,0.995,0.74775,1.07924,5.75729,0.0275,0.0008714,0.0008714,0.0008714
59,190.414,0.94818,2.48115,0.01956,0.99162,1,0.995,0.74775,1.07924,5.75729,0.0275,0.0008516,0.0008516,0.0008516
60,193.829,1.058,2.66816,0.02219,0.98767,1,0.995,0.75581,0.98366,5.58557,0.02443,0.0008318,0.0008318,0.0008318
61,197.031,0.88989,2.60883,0.02002,0.98767,1,0.995,0.75581,0.98366,5.58557,0.02443,0.000812,0.000812,0.000812
62,200.262,1.10388,3.27967,0.02637,0.98767,1,0.995,0.75581,0.98366,5.58557,0.02443,0.0007922,0.0007922,0.0007922
63,203.619,1.0539,2.47243,0.02129,0.99067,1,0.995,0.79144,0.8834,5.2266,0.02069,0.0007724,0.0007724,0.0007724
64,206.925,1.03765,2.37632,0.02416,0.99067,1,0.995,0.79144,0.8834,5.2266,0.02069,0.0007526,0.0007526,0.0007526
65,210.081,1.01436,2.54201,0.02013,0.98986,1,0.995,0.77272,0.98947,5.21887,0.02658,0.0007328,0.0007328,0.0007328
66,213.257,1.06918,2.57533,0.02603,0.98986,1,0.995,0.77272,0.98947,5.21887,0.02658,0.000713,0.000713,0.000713
67,216.487,0.96267,2.62316,0.02269,0.98986,1,0.995,0.77272,0.98947,5.21887,0.02658,0.0006932,0.0006932,0.0006932
68,219.753,0.87923,2.13569,0.0197,0.99357,1,0.995,0.75699,1.07099,5.2087,0.03046,0.0006734,0.0006734,0.0006734
69,222.843,0.98931,2.6041,0.02311,0.99357,1,0.995,0.75699,1.07099,5.2087,0.03046,0.0006536,0.0006536,0.0006536
70,225.835,1.02867,2.4085,0.02271,0.99357,1,0.995,0.75699,1.07099,5.2087,0.03046,0.0006338,0.0006338,0.0006338
71,229.011,0.95776,2.76431,0.0254,0.99492,1,0.995,0.73102,1.08032,5.17638,0.03068,0.000614,0.000614,0.000614
72,232.256,1.05642,2.69747,0.02257,0.99492,1,0.995,0.73102,1.08032,5.17638,0.03068,0.0005942,0.0005942,0.0005942
73,235.526,0.9009,2.62289,0.02163,1,0.98799,0.995,0.76778,0.97036,5.04477,0.02506,0.0005744,0.0005744,0.0005744
74,238.82,0.9425,2.8289,0.01985,1,0.98799,0.995,0.76778,0.97036,5.04477,0.02506,0.0005546,0.0005546,0.0005546
